Category,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Grand Slams,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP 1000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP Finals,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National representation,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total titles,0,1,1,4,6,5,2,4,1,1,1,0,1,1,0,0,0,2,0,0
Win %,0,53,69,76,82,80,79,79,80,69,69,65,63,65,45,53,57,56,31,50
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,